,MovieID,Title,Genre
162,510,Poetic Justice (1993),Drama
163,524,Rudy (1993),Drama
165,538,Six Degrees of Separation (1993),Drama
166,555,True Romance (1993),Action|Crime|Romance
167,562,Welcome to the Dollhouse (1995),Comedy|Drama
168,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller
170,650,Moll Flanders (1996),Drama
171,733,"Rock, The (1996)",Action|Adventure|Thriller
172,741,Ghost in the Shell (Kokaku kidotai) (1995),Animation|Sci-Fi
173,908,North by Northwest (1959),Drama|Thriller
174,1027,Robin Hood: Prince of Thieves (1991),Drama
175,1059,William Shakespeare's Romeo and Juliet (1996),Drama|Romance
176,1120,"People vs. Larry Flynt, The (1996)",Drama
178,1213,GoodFellas (1990),Crime|Drama
179,1265,Groundhog Day (1993),Comedy|Romance
180,1274,Akira (1988),Adventure|Animation|Sci-Fi|Thriller
181,1277,Cyrano de Bergerac (1990),Action|Drama|Romance
182,1357,Shine (1996),Drama|Romance
183,1393,Jerry Maguire (1996),Drama|Romance
184,1411,Hamlet (1996),Drama
185,1466,Donnie Brasco (1997),Crime|Drama
186,1476,Private Parts (1997),Comedy|Drama
187,1488,"Devil's Own, The (1997)",Action|Drama|Thriller|War
188,1573,Face/Off (1997),Action|Sci-Fi|Thriller
189,1580,Men in Black (1997),Action|Adventure|Comedy|Sci-Fi
190,1589,Cop Land (1997),Crime|Drama|Mystery
191,1621,Soul Food (1997),Drama
192,1639,Chasing Amy (1997),Drama|Romance
193,1653,Gattaca (1997),Drama|Sci-Fi|Thriller
194,1660,Eve's Bayou (1997),Drama
195,1673,Boogie Nights (1997),Drama
196,1678,"Joy Luck Club, The (1993)",Drama
197,1682,"Truman Show, The (1998)",Drama
198,1693,Amistad (1997),Drama
199,1701,Deconstructing Harry (1997),Comedy|Drama
200,1704,Good Will Hunting (1997),Drama
201,1711,Midnight in the Garden of Good and Evil (1997),Comedy|Crime|Drama|Mystery
203,1730,Kundun (1997),Drama
204,1735,Great Expectations (1998),Drama|Romance
205,1801,"Man in the Iron Mask, The (1998)",Action|Drama|Romance
206,1810,Primary Colors (1998),Drama
208,1840,He Got Game (1998),Drama
209,1916,Buffalo 66 (1998),Action|Comedy|Drama
211,2023,"Godfather: Part III, The (1990)",Action|Crime|Drama
213,2268,"Few Good Men, A (1992)",Crime|Drama
214,2278,Ronin (1998),Action|Crime|Thriller
215,2291,Edward Scissorhands (1990),Drama|Romance
216,2297,What Dreams May Come (1998),Drama|Romance
217,2314,Beloved (1998),Drama
218,2320,Apt Pupil (1998),Drama|Thriller
219,2324,Life Is Beautiful (La Vita � bella) (1997),Comedy|Drama
220,2329,American History X (1998),Drama
221,2336,Elizabeth (1998),Drama
223,2427,"Thin Red Line, The (1998)",Action|Drama|War
224,2429,Mighty Joe Young (1998),Adventure|Children's|Drama
225,2442,Hilary and Jackie (1998),Drama
226,2490,Payback (1999),Action|Thriller
227,2541,Cruel Intentions (1999),Drama
228,2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
229,2600,eXistenZ (1999),Action|Sci-Fi|Thriller
230,2686,"Red Violin, The (Le Violon rouge) (1998)",Drama|Mystery
231,2688,"General's Daughter, The (1999)",Drama|Thriller
233,2699,Arachnophobia (1990),Action|Comedy|Sci-Fi|Thriller
234,2702,Summer of Sam (1999),Drama
235,2712,Eyes Wide Shut (1999),Drama
237,2908,Boys Don't Cry (1999),Drama
238,2916,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
239,3006,"Insider, The (1999)",Drama
241,3107,Backdraft (1991),Action|Drama
242,3147,"Green Mile, The (1999)",Drama|Thriller
243,3148,"Cider House Rules, The (1999)",Drama
244,3155,Anna and the King (1999),Drama|Romance
245,3173,Any Given Sunday (1999),Drama
247,3213,Batman: Mask of the Phantasm (1993),Animation|Children's
248,3246,Malcolm X (1992),Drama
249,3250,Alive (1993),Drama
250,3252,Scent of a Woman (1992),Drama
251,3256,Patriot Games (1992),Action|Thriller
252,3257,"Bodyguard, The (1992)",Action|Drama|Romance|Thriller
253,3259,Far and Away (1992),Drama|Romance
254,3260,Howards End (1992),Drama
255,3265,Hard-Boiled (Lashou shentan) (1992),Action|Crime
256,3267,"Mariachi, El (1992)",Action|Thriller
257,3386,JFK (1991),Drama|Mystery
258,3418,Thelma & Louise (1991),Action|Drama
259,3425,Mo' Better Blues (1990),Drama
260,3481,High Fidelity (2000),Comedy
261,3500,Mr. Saturday Night (1992),Comedy|Drama
262,3528,"Prince of Tides, The (1991)",Drama|Romance
266,47,Seven (Se7en) (1995),Crime|Thriller
267,50,"Usual Suspects, The (1995)",Crime|Thriller
269,162,Crumb (1994),Documentary
270,223,Clerks (1994),Comedy
271,300,Quiz Show (1994),Drama
272,318,"Shawshank Redemption, The (1994)",Drama
274,367,"Mask, The (1994)",Comedy|Crime|Fantasy
276,412,"Age of Innocence, The (1993)",Drama
277,428,"Bronx Tale, A (1993)",Drama
278,457,"Fugitive, The (1993)",Action|Thriller
283,529,Searching for Bobby Fischer (1993),Drama
285,593,"Silence of the Lambs, The (1991)",Drama|Thriller
290,778,Trainspotting (1996),Drama
291,805,"Time to Kill, A (1996)",Drama
293,861,Supercop (1992),Action|Thriller
296,994,Big Night (1996),Drama
297,1060,Swingers (1996),Comedy|Drama
298,1089,Reservoir Dogs (1992),Crime|Thriller
299,1148,"Wrong Trousers, The (1993)",Animation|Comedy
302,1221,"Godfather: Part II, The (1974)",Action|Crime|Drama
303,1223,"Grand Day Out, A (1992)",Animation|Comedy
304,1233,"Boat, The (Das Boot) (1981)",Action|Drama|War
306,1307,When Harry Met Sally... (1989),Comedy|Romance
307,1310,Hype! (1996),Documentary
308,1343,Cape Fear (1991),Thriller
309,1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi
310,1358,Sling Blade (1996),Drama|Thriller
312,1446,Kolya (1996),Comedy
314,1500,Grosse Pointe Blank (1997),Comedy|Crime
315,1552,Con Air (1997),Action|Adventure|Thriller
316,1584,Contact (1997),Drama|Sci-Fi
317,1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
320,1669,"Tango Lesson, The (1997)",Romance
324,1777,"Wedding Singer, The (1998)",Comedy|Romance
325,1784,As Good As It Gets (1997),Comedy|Drama
326,1912,Out of Sight (1998),Action|Crime|Romance
327,1921,Pi (1998),Sci-Fi|Thriller
328,1923,There's Something About Mary (1998),Comedy
331,2166,Return to Paradise (1998),Drama|Romance
335,2302,My Cousin Vinny (1992),Comedy
339,2599,Election (1999),Comedy
343,2890,Three Kings (1999),Drama|War
344,2959,Fight Club (1999),Drama
349,3160,Magnolia (1999),Drama
350,3178,"Hurricane, The (1999)",Drama
351,3253,Wayne's World (1992),Comedy
352,3255,"League of Their Own, A (1992)",Comedy|Drama
353,3270,"Cutting Edge, The (1992)",Drama
354,3298,Boiler Room (2000),Drama
355,3301,"Whole Nine Yards, The (2000)",Comedy|Crime
357,3452,Romeo Must Die (2000),Action|Romance
358,3484,"Skulls, The (2000)",Thriller
359,3510,Frequency (2000),Drama|Thriller
360,3513,Rules of Engagement (2000),Drama|Thriller
361,3623,Mission: Impossible 2 (2000),Action|Thriller
363,3751,Chicken Run (2000),Animation|Children's|Comedy
364,3755,"Perfect Storm, The (2000)",Action|Adventure|Thriller
365,3793,X-Men (2000),Action|Sci-Fi
366,3826,Hollow Man (2000),Horror|Sci-Fi|Thriller
367,3916,Remember the Titans (2000),Drama
368,3948,Meet the Parents (2000),Comedy
370,2,Jumanji (1995),Adventure|Children's|Fantasy
371,7,Sabrina (1995),Comedy|Romance
373,32,Twelve Monkeys (1995),Drama|Sci-Fi
375,62,Mr. Holland's Opus (1995),Drama
376,104,Happy Gilmore (1996),Comedy
378,116,Anne Frank Remembered (1995),Documentary
380,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
381,180,Mallrats (1995),Comedy
382,186,Nine Months (1995),Comedy
383,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
384,208,Waterworld (1995),Action|Adventure
386,248,Houseguest (1994),Comedy
389,275,Mixed Nuts (1994),Comedy
390,277,Miracle on 34th Street (1994),Drama
392,292,Outbreak (1995),Action|Drama|Thriller
393,316,Stargate (1994),Action|Adventure|Sci-Fi
394,317,"Santa Clause, The (1994)",Children's|Comedy|Fantasy
396,329,Star Trek: Generations (1994),Action|Adventure|Sci-Fi
397,333,Tommy Boy (1995),Comedy
398,339,While You Were Sleeping (1995),Comedy|Romance
399,344,Ace Ventura: Pet Detective (1994),Comedy
400,351,"Corrina, Corrina (1994)",Comedy|Drama|Romance
401,356,Forrest Gump (1994),Comedy|Romance|War
402,357,Four Weddings and a Funeral (1994),Comedy|Romance
406,370,Naked Gun 33 1/3: The Final Insult (1994),Comedy
407,435,Coneheads (1993),Comedy|Sci-Fi
409,520,Robin Hood: Men in Tights (1993),Comedy
411,539,Sleepless in Seattle (1993),Comedy|Romance
412,541,Blade Runner (1982),Film-Noir|Sci-Fi
413,542,Son in Law (1993),Comedy
414,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
415,551,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical
416,586,Home Alone (1990),Children's|Comedy
417,587,Ghost (1990),Comedy|Romance|Thriller
421,592,Batman (1989),Action|Adventure|Crime|Drama
424,596,Pinocchio (1940),Animation|Children's
426,648,Mission: Impossible (1996),Action|Adventure|Mystery
427,653,Dragonheart (1996),Action|Adventure|Fantasy
428,671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
430,743,Spy Hard (1996),Comedy
432,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Sci-Fi|War
433,765,Jack (1996),Comedy|Drama
434,780,Independence Day (ID4) (1996),Action|Sci-Fi|War
435,784,"Cable Guy, The (1996)",Comedy
436,802,Phenomenon (1996),Drama|Romance
437,830,"First Wives Club, The (1996)",Comedy
438,858,"Godfather, The (1972)",Action|Crime|Drama
439,898,"Philadelphia Story, The (1940)",Comedy|Romance
440,899,Singin' in the Rain (1952),Musical|Romance
441,902,Breakfast at Tiffany's (1961),Drama|Romance
442,904,Rear Window (1954),Mystery|Thriller
444,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
446,915,Sabrina (1954),Comedy|Romance
447,916,Roman Holiday (1953),Comedy|Romance
448,918,Meet Me in St. Louis (1944),Musical
451,923,Citizen Kane (1941),Drama
452,924,2001: A Space Odyssey (1968),Drama|Mystery|Sci-Fi|Thriller
453,926,All About Eve (1950),Drama
454,932,"Affair to Remember, An (1957)",Romance
456,943,"Ghost and Mrs. Muir, The (1947)",Drama|Romance
457,953,It's a Wonderful Life (1946),Drama
458,954,Mr. Smith Goes to Washington (1939),Drama
459,963,"Inspector General, The (1949)",Musical
460,969,"African Queen, The (1951)",Action|Adventure|Romance|War
461,971,Cat on a Hot Tin Roof (1958),Drama
462,1009,Escape to Witch Mountain (1975),Adventure|Children's|Fantasy
463,1012,Old Yeller (1957),Children's|Drama
464,1015,Homeward Bound: The Incredible Journey (1993),Adventure|Children's
465,1016,"Shaggy Dog, The (1959)",Children's|Comedy
466,1019,"20,000 Leagues Under the Sea (1954)",Adventure|Children's|Fantasy|Sci-Fi
467,1020,Cool Runnings (1993),Comedy
469,1023,Winnie the Pooh and the Blustery Day (1968),Animation|Children's
470,1025,"Sword in the Stone, The (1963)",Animation|Children's
473,1031,Bedknobs and Broomsticks (1971),Adventure|Children's|Musical
474,1032,Alice in Wonderland (1951),Animation|Children's|Musical
476,1042,That Thing You Do! (1996),Comedy
478,1073,Willy Wonka and the Chocolate Factory (1971),Adventure|Children's|Comedy|Fantasy
479,1079,"Fish Called Wanda, A (1988)",Comedy
480,1080,Monty Python's Life of Brian (1979),Comedy
481,1084,Bonnie and Clyde (1967),Crime|Drama
483,1091,Weekend at Bernie's (1989),Comedy
486,1104,"Streetcar Named Desire, A (1951)",Drama
487,1124,On Golden Pond (1981),Drama
488,1125,"Return of the Pink Panther, The (1974)",Comedy
489,1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
490,1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
491,1135,Private Benjamin (1980),Comedy
492,1136,Monty Python and the Holy Grail (1974),Comedy
494,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War
496,1198,Raiders of the Lost Ark (1981),Action|Adventure
497,1200,Aliens (1986),Action|Sci-Fi|Thriller|War
498,1201,"Good, The Bad and The Ugly, The (1966)",Action|Western
499,1203,12 Angry Men (1957),Drama
500,1204,Lawrence of Arabia (1962),Adventure|War
502,1214,Alien (1979),Action|Horror|Sci-Fi|Thriller
503,1215,Army of Darkness (1993),Action|Adventure|Comedy|Horror|Sci-Fi
504,1220,"Blues Brothers, The (1980)",Action|Comedy|Musical
507,1225,Amadeus (1984),Drama
508,1230,Annie Hall (1977),Comedy|Romance
510,1234,"Sting, The (1973)",Comedy|Crime
511,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
512,1243,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama
513,1247,"Graduate, The (1967)",Drama|Romance
514,1250,"Bridge on the River Kwai, The (1957)",Drama|War
515,1252,Chinatown (1974),Film-Noir|Mystery|Thriller
516,1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi
517,1254,"Treasure of the Sierra Madre, The (1948)",Adventure
518,1256,Duck Soup (1933),Comedy|War
519,1257,Better Off Dead... (1985),Comedy
520,1259,Stand by Me (1986),Adventure|Comedy|Drama
522,1269,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller
524,1271,Fried Green Tomatoes (1991),Drama
525,1276,Cool Hand Luke (1967),Comedy|Drama
526,1278,Young Frankenstein (1974),Comedy|Horror
527,1282,Fantasia (1940),Animation|Children's|Musical
528,1283,High Noon (1952),Western
529,1286,Somewhere in Time (1980),Drama|Romance
531,1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
532,1292,Being There (1979),Comedy
533,1293,Gandhi (1982),Drama
534,1294,M*A*S*H (1970),Comedy|War
535,1302,Field of Dreams (1989),Drama
536,1304,Butch Cassidy and the Sundance Kid (1969),Action|Comedy|Western
538,1320,Alien� (1992),Action|Horror|Sci-Fi|Thriller
539,1339,Bram Stoker's Dracula (1992),Horror|Romance
540,1345,Carrie (1976),Horror
543,1371,Star Trek: The Motion Picture (1979),Action|Adventure|Sci-Fi
544,1372,Star Trek VI: The Undiscovered Country (1991),Action|Adventure|Sci-Fi
545,1374,Star Trek: The Wrath of Khan (1982),Action|Adventure|Sci-Fi
546,1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
547,1376,Star Trek IV: The Voyage Home (1986),Action|Adventure|Sci-Fi
548,1377,Batman Returns (1992),Action|Adventure|Comedy|Crime
550,1387,Jaws (1975),Action|Horror
551,1394,Raising Arizona (1987),Comedy
552,1408,"Last of the Mohicans, The (1992)",Action|Romance|War
553,1409,Michael (1996),Comedy|Romance
556,1513,Romy and Michele's High School Reunion (1997),Comedy
557,1517,Austin Powers: International Man of Mystery (1997),Comedy
558,1544,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
562,1583,"Simple Wish, A (1997)",Children's|Fantasy
564,1586,G.I. Jane (1997),Action|Drama|War
566,1633,Ulee's Gold (1997),Drama
569,1654,FairyTale: A True Story (1997),Children's|Drama|Fantasy
570,1676,Starship Troopers (1997),Action|Adventure|Sci-Fi|War
572,1690,Alien: Resurrection (1997),Action|Horror|Sci-Fi
575,1756,"Prophecy II, The (1998)",Horror
577,1831,Lost in Space (1998),Action|Sci-Fi|Thriller
578,1884,Fear and Loathing in Las Vegas (1998),Comedy|Drama
579,1918,Lethal Weapon 4 (1998),Action|Comedy|Crime|Drama
582,1927,All Quiet on the Western Front (1930),War
584,1948,Tom Jones (1963),Comedy
585,1954,Rocky (1976),Action|Drama
588,1967,Labyrinth (1986),Adventure|Children's|Fantasy
589,2000,Lethal Weapon (1987),Action|Comedy|Crime|Drama
590,2001,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama
591,2002,Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama
592,2003,Gremlins (1984),Comedy|Horror
593,2005,"Goonies, The (1985)",Adventure|Children's|Fantasy
595,2009,Soylent Green (1973),Sci-Fi|Thriller
596,2011,Back to the Future Part II (1989),Comedy|Sci-Fi
597,2012,Back to the Future Part III (1990),Comedy|Sci-Fi|Western
598,2015,"Absent Minded Professor, The (1961)",Children's|Comedy|Fantasy
600,2021,Dune (1984),Fantasy|Sci-Fi
601,2033,"Black Cauldron, The (1985)",Animation|Children's
602,2040,"Computer Wore Tennis Shoes, The (1970)",Children's|Comedy
603,2041,Condorman (1981),Action|Adventure|Children's|Comedy
604,2043,Darby O'Gill and the Little People (1959),Adventure|Children's|Fantasy
605,2045,"Far Off Place, A (1993)",Adventure|Children's|Drama|Romance
606,2046,Flight of the Navigator (1986),Adventure|Children's|Sci-Fi
607,2047,"Gnome-Mobile, The (1967)",Children's
608,2049,"Happiest Millionaire, The (1967)",Comedy|Musical
609,2054,"Honey, I Shrunk the Kids (1989)",Adventure|Children's|Comedy|Fantasy|Sci-Fi
610,2067,Doctor Zhivago (1965),Drama|Romance|War
611,2072,"'burbs, The (1989)",Comedy
612,2077,"Journey of Natty Gann, The (1985)",Adventure|Children's
613,2078,"Jungle Book, The (1967)",Animation|Children's|Comedy|Musical
614,2080,Lady and the Tramp (1955),Animation|Children's|Comedy|Musical|Romance
617,2087,Peter Pan (1953),Animation|Children's|Fantasy|Musical
618,2090,"Rescuers, The (1977)",Animation|Children's
619,2091,Return from Witch Mountain (1978),Children's|Sci-Fi
620,2093,Return to Oz (1985),Adventure|Children's|Fantasy|Sci-Fi
621,2094,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi
622,2096,Sleeping Beauty (1959),Animation|Children's|Musical
624,2105,Tron (1982),Action|Adventure|Fantasy|Sci-Fi
625,2108,L.A. Story (1991),Comedy|Romance
626,2109,"Jerk, The (1979)",Comedy
627,2111,"Man with Two Brains, The (1983)",Comedy
628,2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure
629,2124,"Addams Family, The (1991)",Comedy
630,2125,Ever After: A Cinderella Story (1998),Drama|Romance
631,2133,Adventures in Babysitting (1987),Adventure|Comedy
632,2135,Doctor Dolittle (1967),Adventure|Musical
633,2136,"Nutty Professor, The (1963)",Comedy
634,2137,Charlotte's Web (1973),Animation|Children's
635,2138,Watership Down (1978),Animation|Children's|Drama|Fantasy
636,2140,"Dark Crystal, The (1982)",Children's|Fantasy|Sci-Fi
637,2161,"NeverEnding Story, The (1984)",Adventure|Children's|Fantasy
638,2174,Beetlejuice (1988),Comedy|Fantasy
639,2193,Willow (1988),Action|Adventure|Fantasy
640,2252,Hero (1992),Comedy|Drama
643,2300,"Producers, The (1968)",Comedy|Musical
645,2312,Children of a Lesser God (1986),Drama
646,2316,Practical Magic (1998),Drama|Romance
651,2371,Fletch (1985),Comedy
652,2375,"Money Pit, The (1986)",Comedy
653,2378,Police Academy (1984),Comedy
654,2393,Star Trek: Insurrection (1998),Action|Sci-Fi
657,2399,Santa Claus: The Movie (1985),Adventure|Children's|Fantasy
658,2405,"Jewel of the Nile, The (1985)",Action|Adventure|Comedy|Romance
659,2407,Cocoon (1985),Comedy|Sci-Fi
660,2423,Christmas Vacation (1989),Comedy
661,2424,You've Got Mail (1998),Comedy|Romance
662,2431,Patch Adams (1998),Comedy|Drama
663,2436,Tea with Mussolini (1999),Comedy
664,2453,"Boy Who Could Fly, The (1986)",Drama|Fantasy
665,2470,Crocodile Dundee (1986),Adventure|Comedy
666,2496,Blast from the Past (1999),Comedy|Romance
667,2497,Message in a Bottle (1999),Romance
668,2498,My Favorite Martian (1999),Comedy|Sci-Fi
669,2501,October Sky (1999),Drama
670,2529,Planet of the Apes (1968),Action|Sci-Fi
671,2530,Beneath the Planet of the Apes (1970),Action|Sci-Fi
674,2617,"Mummy, The (1999)",Action|Adventure|Horror|Thriller
675,2622,"Midsummer Night's Dream, A (1999)",Comedy|Fantasy
